start station name,tripduration,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,bikeid,birth year,gender,Month,Year
Leonard Gordon Park,793.8652482269504,3281.0,40.74590996631559,-74.05727148056029,3448.3829787234044,40.72893514811331,-74.05299076983297,28286.326241134753,1982.6524822695035,1.0921985815602837,March,2019
Liberty Light Rail,1814.6736842105263,3192.0,40.71124229999989,-74.0557012999998,3226.898947368421,40.71718136880976,-74.04563194007756,28483.528421052633,1980.9557894736843,1.0042105263157894,March,2019
Lincoln Park,905.4771241830065,3193.0,40.724605099886794,-74.07840594649316,3235.3137254901962,40.728181427559925,-74.0645982989683,28395.235294117647,1981.0718954248366,1.1764705882352942,March,2019
Manila & 1st,299.35744680851064,3273.0,40.721650724880064,-74.04288411140442,3252.4,40.723192286040465,-74.04442015367009,28314.634042553193,1980.5787234042552,1.1446808510638298,March,2019
Marin Light Rail,647.814055636896,3276.0,40.71458403535873,-74.04281705617905,3244.8901903367496,40.71884925157259,-74.0409594786174,28459.297218155196,1982.0322108345536,1.1464128843338213,March,2019
McGinley Square,382.3435754189944,3194.0,40.725339925355506,-74.06762212514876,3271.0670391061453,40.72676831104021,-74.06109738473732,28276.77653631285,1983.1005586592178,1.1396648044692737,March,2019
Monmouth and 6th,638.031185031185,3278.0,40.72568548362907,-74.0487903356552,3237.039501039501,40.721384497061536,-74.04328158035794,28419.182952182953,1983.856548856549,1.2162162162162162,March,2019
Montgomery St,369.6223564954683,3483.0,40.71941999999987,-74.0509899999998,3243.1631419939577,40.72034093990956,-74.0451993751478,28453.356495468277,1981.0060422960726,1.2145015105740182,March,2019
Morris Canal,480.5607843137255,3267.0,40.712418823757275,-74.03852552175522,3228.8823529411766,40.717591698078195,-74.03658824357105,28429.6431372549,1980.0235294117647,1.1019607843137256,March,2019
Newark Ave,417.55016181229774,3211.0,40.721525149999515,-74.04630454300046,3249.145631067961,40.72208094499818,-74.04526599407323,28335.11650485437,1982.598705501618,1.1715210355987056,March,2019
Newport PATH,484.7476038338658,3202.0,40.727223499999,-74.03375889999873,3347.6198083067093,40.72259723484769,-74.03866329822065,28386.367412140575,1981.9435569755058,1.1576144834930777,March,2019
Newport Pkwy,1088.8988095238096,3199.0,40.72874479999998,-74.03210820000034,3280.940476190476,40.72317610002945,-74.03769642487504,28368.890873015873,1983.2777777777778,1.1904761904761905,March,2019
Oakland Ave,505.54487179487177,3207.0,40.7376036999999,-74.05247830000006,3394.355769230769,40.730904521153086,-74.05477536257361,28408.621794871793,1985.2435897435898,1.1121794871794872,March,2019
Paulus Hook,903.2831858407079,3184.0,40.71414539999986,-74.0335519,3262.869469026549,40.72116685094805,-74.04166344179686,28434.75,1979.9070796460178,1.0486725663716814,March,2019
Pershing Field,607.7678571428571,3210.0,40.74267714099969,-74.05178863300051,3351.9910714285716,40.73132510987355,-74.05468274231832,28348.991071428572,1983.610119047619,1.1339285714285714,March,2019
Riverview Park,1049.6,3196.0,40.74431869999992,-74.04399089999993,3182.9555555555557,40.7314185999314,-74.04470646702117,28577.17777777778,1981.911111111111,1.1222222222222222,March,2019
Sip Ave,512.1679073614557,3195.0,40.730897097862446,-74.06391263008119,3325.0206782464847,40.72571398772379,-74.06658222936346,28293.629445822993,1981.8767576509513,1.1166253101736974,March,2019
